prob,group,measure,solver,performance
1000-262,sophisticated-lkh,PAR10,ann_1_nng,1.8108
1000-262,sophisticated-lkh,PQR10,ann_1_nng,1.7465
1000-268,sophisticated-lkh,PAR10,ann_1_nng,2.9253
1000-268,sophisticated-lkh,PQR10,ann_1_nng,1.6045
1000-287,sophisticated-lkh,PAR10,ann_1_nng,33.1723
1000-287,sophisticated-lkh,PQR10,ann_1_nng,35.022
1000-294,sophisticated-lkh,PAR10,ann_1_nng,220.8748
1000-294,sophisticated-lkh,PQR10,ann_1_nng,201.8895
1000-306,sophisticated-lkh,PAR10,ann_1_nng,261.6574
1000-306,sophisticated-lkh,PQR10,ann_1_nng,245.9255
1000-311,sophisticated-lkh,PAR10,ann_1_nng,3.5339
1000-311,sophisticated-lkh,PQR10,ann_1_nng,2.649
1000-32,sophisticated-lkh,PAR10,ann_1_nng,152.959
1000-32,sophisticated-lkh,PQR10,ann_1_nng,84.8885
1000-328,sophisticated-lkh,PAR10,ann_1_nng,3.3736
1000-328,sophisticated-lkh,PQR10,ann_1_nng,3.262
1000-336,sophisticated-lkh,PAR10,ann_1_nng,2.0824
1000-336,sophisticated-lkh,PQR10,ann_1_nng,1.2325
1000-339,sophisticated-lkh,PAR10,ann_1_nng,85.8574
1000-339,sophisticated-lkh,PQR10,ann_1_nng,64.29
1000-344,sophisticated-lkh,PAR10,ann_1_nng,109.7298
1000-344,sophisticated-lkh,PQR10,ann_1_nng,86.86
1000-347,sophisticated-lkh,PAR10,ann_1_nng,108.8951
1000-347,sophisticated-lkh,PQR10,ann_1_nng,90.725
1000-377,sophisticated-lkh,PAR10,ann_1_nng,6.4828
1000-377,sophisticated-lkh,PQR10,ann_1_nng,1.702
1000-392,sophisticated-lkh,PAR10,ann_1_nng,212.6869
1000-392,sophisticated-lkh,PQR10,ann_1_nng,102.436
1000-401,sophisticated-lkh,PAR10,ann_1_nng,199.3271
1000-401,sophisticated-lkh,PQR10,ann_1_nng,93.6585
1000-404,sophisticated-lkh,PAR10,ann_1_nng,37.4492
1000-404,sophisticated-lkh,PQR10,ann_1_nng,28.287
