prob,group,measure,solver,performance
1000-372,sophisticated-lkh,PQR10,ann_1_mst,71.6385
1000-379,sophisticated-lkh,PAR10,ann_1_mst,81.3704
1000-379,sophisticated-lkh,PQR10,ann_1_mst,54.992
1000-380,sophisticated-lkh,PAR10,ann_1_mst,1.3448
1000-380,sophisticated-lkh,PQR10,ann_1_mst,1.3605
1000-391,sophisticated-lkh,PAR10,ann_1_mst,76.6829
1000-391,sophisticated-lkh,PQR10,ann_1_mst,89.7425
1000-425,sophisticated-lkh,PAR10,ann_1_mst,1.7529
1000-425,sophisticated-lkh,PQR10,ann_1_mst,1.552
1000-43,sophisticated-lkh,PAR10,ann_1_mst,1.9607
1000-43,sophisticated-lkh,PQR10,ann_1_mst,1.7025
1000-445,sophisticated-lkh,PAR10,ann_1_mst,5.5106
1000-445,sophisticated-lkh,PQR10,ann_1_mst,3.911
1000-451,sophisticated-lkh,PAR10,ann_1_mst,51.7995
1000-451,sophisticated-lkh,PQR10,ann_1_mst,36.1255
1000-454,sophisticated-lkh,PAR10,ann_1_mst,155.0891
1000-454,sophisticated-lkh,PQR10,ann_1_mst,154.8595
1000-461,sophisticated-lkh,PAR10,ann_1_mst,11.4914
1000-461,sophisticated-lkh,PQR10,ann_1_mst,9.139
1000-47,sophisticated-lkh,PAR10,ann_1_mst,34.9659
1000-47,sophisticated-lkh,PQR10,ann_1_mst,16.044
1000-472,sophisticated-lkh,PAR10,ann_1_mst,211.3725
1000-472,sophisticated-lkh,PQR10,ann_1_mst,224.4005
1000-48,sophisticated-lkh,PAR10,ann_1_mst,1.2833
1000-48,sophisticated-lkh,PQR10,ann_1_mst,1.194
1000-488,sophisticated-lkh,PAR10,ann_1_mst,72.1622
1000-488,sophisticated-lkh,PQR10,ann_1_mst,56.102
1000-51,sophisticated-lkh,PAR10,ann_1_mst,52.155
1000-51,sophisticated-lkh,PQR10,ann_1_mst,26.1485
1000-61,sophisticated-lkh,PAR10,ann_1_mst,2.9682
1000-61,sophisticated-lkh,PQR10,ann_1_mst,2.328
1000-74,sophisticated-lkh,PAR10,ann_1_mst,43.9119
1000-74,sophisticated-lkh,PQR10,ann_1_mst,33.0445
1000-89,sophisticated-lkh,PAR10,ann_1_mst,9.3617
1000-89,sophisticated-lkh,PQR10,ann_1_mst,7.482
1000-9,sophisticated-lkh,PAR10,ann_1_mst,115.3102
1000-9,sophisticated-lkh,PQR10,ann_1_mst,104.49
1000-99,sophisticated-lkh,PAR10,ann_1_mst,59.8781
1000-99,sophisticated-lkh,PQR10,ann_1_mst,40.2935
